Backoff;CC;Configuration;Configuration Detailed;KTPS;NO HT;Numa Distance;Remote New-Order;Remote Payment;Small Relations;Threads;Warehouses;abort_cnt;cycle_detect;deadlock_cnt;debug1;debug2;debug3;debug4;debug5;dl_detect_time;dl_wait_time;latency;neworder_cnt;run_time;time_abort;time_cleanup;time_index;time_man;time_query;time_ts_alloc;time_wait;txn_cnt
0;DL DETECT;0;28skt-0-config-base-hw_clock;153.90078263388634;False;All;1.0;15.0;False;784;1568;1608;1683410;0;210103147.0;0.0;7186600442.0;0.0;6.768031;4.138337;0.0;0.005094;0.0;208982.843268;8.750295;197.22307;67.011524;1153.509695;1.038701;0.0;2.0391340000000002;41023754
0;DL DETECT;8;28skt-7-config-base+alloc+index+latch+replicate_item+batched_access+bypass_cat+CC;18910.807386584846;False;All;1.0;15.0;False;784;1568;21;10512;0;134094166.0;0.0;10593596776.0;0.0;21.46827;0.137302;0.0;4.1e-05;0.0;1071.941603;0.021536000000000003;13.910860999999999;51.070955;461.900381;0.607789;0.0;0.16436900000000002;25856226
0;MVCC;0;28skt-0-config-base-hw_clock;35.204802166905914;False;All;1.0;15.0;False;784;1568;619;0;0;216678764.0;0.0;266337364147833.03;405437926772.0;52.687868;0.0;0.0;0.022269999999999998;0.0;819635.7746649999;22.848155;110.532319;67.61993000000001;267001.131046;1.2632860000000001;1.8719009999999998;15.009544;36804994
0;MVCC;8;28skt-7-config-base+alloc+index+latch+replicate_item+batched_access+bypass_cat+CC;16398.019512699215;False;All;1.0;15.0;False;784;1568;475;0;0;170531668.0;0.0;338581086664.0;123654882079.0;11.307431;0.0;0.0;4.8e-05;0.0;1490.256867;0.044282;153.301181;76.271541;784.250658;0.7730670000000001;0.705461;0.022042;31169976
0;SILO;0;28skt-0-config-base-hw_clock;101.27819223990939;False;All;1.0;15.0;False;784;1568;1973;0;0;228056889.0;0.0;4166520759.0;0.0;2.6038900000000003;0.0;0.0;0.007741;0.0;317567.817599;35.371973;40.542875;32.311032;432.43947599999996;1.207492;0.0;0.0;41023845
0;SILO;8;28skt-7-config-base+alloc+index+latch+replicate_item+batched_access+bypass_cat+CC;20025.925980985594;False;All;1.0;15.0;False;784;1568;476;0;0;120166881.0;0.0;1907724102.0;0.0;1.348473;0.0;0.0;3.9e-05;0.0;885.638542;0.482764;89.062587;50.51386;302.399285;0.519788;0.0;0.0;22622107
0;DL DETECT;0;28skt-0-config-base-hw_clock;151.73853887936593;False;All;1.0;15.0;False;1344;1568;2619;1258984;0;424584154.0;0.0;12506867018.0;0.0;12.011163;72.695188;0.0;0.008856999999999999;0.0;588230.647291;38.406636;605.886165;114.659899;2464.599032;1.75732;0.0;60.500232999999994;66411651
0;DL DETECT;1;28skt-1-config-base+alloc;2154.660162961191;False;All;1.0;15.0;False;1344;1568;193137;20989932;0;3012535275.0;0.0;56637968443.0;0.0;62.867249;112.999206;0.0;0.000624;0.0;72047.434767;209.33304099999998;32881.055635000004;718.926721;68691.96573099999;76.049352;0.0;2.558432;115504269
0;DL DETECT;0;28skt-0-config-base-hw_clock;142.16655752470976;False;All;1.0;15.0;False;1568;1568;2883;1068967;0;450713274.0;0.0;13361636179.0;0.0;14.037683;126.63923700000001;0.0;0.011029;0.0;804237.607766;57.14627900000001;829.326123;106.27983700000001;2546.808927;1.8984560000000001;0.0;105.86471100000001;72918171
0;DL DETECT;1;28skt-1-config-base+alloc;1846.7140945318838;False;All;1.0;15.0;False;1568;1568;321171;27918696;0;3820262693.0;0.0;82498021995.0;0.0;93.464389;181.429853;0.0;0.000849;0.0;114439.871901;351.735649;53256.695225999996;885.837709;110875.76038900002;101.204996;0.0;3.189372;134781712
0;HSTORE;0;28skt-0-config-base-hw_clock;128.5165710203085;False;All;1.0;15.0;False;1344;1568;4939;0;0;786332030.0;0.0;2224389390.0;0.0;0.47604799999999997;0.0;0.0;0.010458;0.0;784420.4058640001;0.281298;0.754663;252.51887999999997;91.25631800000001;2.273559;1.6616939999999998;167420.153386;75008200
0;HSTORE;1;28skt-1-config-base+alloc;17624.93008510369;False;All;1.0;15.0;False;1344;1568;786731;0;0;571996831.0;0.0;1359199997.0;0.0;0.32409499999999997;0.0;0.0;7.6e-05;0.0;3626.158564;72.561803;0.531442;671.592592;630.436738;152.132825;1.540225;1024.3378599999999;47552672
0;HSTORE;0;28skt-0-config-base-hw_clock;120.1204892807522;False;All;1.0;15.0;False;1568;1568;5791;0;0;937169710.0;0.0;2576290553.0;0.0;0.5535939999999999;0.0;0.0;0.013054;0.0;1152842.906961;0.55157;0.885928;236.715409;120.056851;2.468048;2.074707;281366.74614299997;88316361
0;MVCC;0;28skt-0-config-base-hw_clock;34.298977866420216;False;All;1.0;15.0;False;1344;1568;1649;0;0;383599377.0;0.0;764598240703532.9;684434288090.0;144.493067;0.0;0.0;0.039185000000000005;0.0;2325972.007408;107.391571;205.885741;133.388372;765567.034095;2.098703;1.2486329999999999;72.814458;59358975
0;MVCC;1;28skt-1-config-base+alloc;343.9839863761803;False;All;1.0;15.0;False;1344;1568;3423;0;0;6912262238.0;0.0;7811821815044.998;87670307770193.0;264.94101800000004;0.0;0.0;0.003907;0.0;105424.505222;5141.7644390000005;2204.321382;2988.687062;90715.96568200001;9.986613;5.638701;849.923501;26982397
